event_id,event_date,attack_norm,target,country,event_themes,similarity,tg_msg_id,tg_date,tg_group,tg_threats,tg_message,delta_days,lead_time,tipo,evidence_target,evidence_cve,evidence_ransomware,evidence_actor,evidence_score
H00472,2023-07-25,vulnerability,Multiple organizations,>1,vuln_exploit,0.7194,T001753,2023-07-21,cissp,vuln_exploit,"U.S. cybersecurity agency warns of a critical flaw (CVE-2023-3519) in Citrix NetScaler ADC and Gateway devices being exploited by hackers to drop web shells on vulnerable systems.  
Learn more: https://thehackernews.com/2023/07/citrix-netscaler-adc-and-gateway.html


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.04.30",-4,4,preditivo,,CVE-2023-3519,,,4
H00472,2023-07-25,vulnerability,Multiple organizations,>1,vuln_exploit,0.7049,T001760,2023-07-19,cissp,vuln_exploit,"ALERT: Critical security flaw in Citrix NetScaler ADC and Gateway being actively exploited! CVE-2023-3519 allows unauthenticated remote code execution. 
 
Read: https://thehackernews.com/2023/07/zero-day-attacks-exploited-critical.html


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.04.28",-6,6,preditivo,,CVE-2023-3519,,,4
H00772,2023-11-05,malware,Multiple organizations,>1,"ransomware,malware,vuln_exploit",0.6611,T001518,2023-10-25,cissp,vuln_exploit,"🚨 VMware releases crucial security updates to fix a new critical vulnerability (CVE-2023-34048) in vCenter Server. 
 
Details in the article: https://thehackernews.com/2023/10/act-now-vmware-releases-patch-for.html 
 
Protect your systems from remote code execution.



⁩-Cyber Security awareness-
 
Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.08.03",-11,11,preditivo,,CVE-2023-34048,,,4
H00086,2023-01-27,malware,Multiple organizations,>1,"malware,vuln_exploit,supply_chain",0.6592,T002226,2023-01-20,cissp,"malware,vuln_exploit","Researchers are warning of a new Chinese #malware called ""BOLDMOVE"" that exploited a recently discovered vulnerability in Fortinet FortiOS SSL-VPN (CVE-2022-42475) as a zero-day to attack government entities & managed service providers.
https://thehackernews.com/2023/01/new-chinese-malware-spotted-exploiting.html


⁩-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.10.30",-7,7,preditivo,,CVE-2022-42475,,,4
H00045,2023-02-01,malware,Sistema Integrado de Emergencias y Seguridad- SIES-M,CO,"ransomware,malware",0.6468,T002240,2023-01-18,cissp,ransomware,"Royal & BlackCat Ransomware: The Threat to the Health Sector January 12, 2023


⁩-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.10.28",-14,14,preditivo,,,"blackcat, royal",,4
H00483,2023-07-29,vulnerability,Ellipsis,,vuln_exploit,0.6425,T001753,2023-07-21,cissp,vuln_exploit,"U.S. cybersecurity agency warns of a critical flaw (CVE-2023-3519) in Citrix NetScaler ADC and Gateway devices being exploited by hackers to drop web shells on vulnerable systems.  
Learn more: https://thehackernews.com/2023/07/citrix-netscaler-adc-and-gateway.html


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.04.30",-8,8,preditivo,,CVE-2023-3519,,,4
H00485,2023-07-29,vulnerability,MetronomeDAO,,vuln_exploit,0.6237,T001753,2023-07-21,cissp,vuln_exploit,"U.S. cybersecurity agency warns of a critical flaw (CVE-2023-3519) in Citrix NetScaler ADC and Gateway devices being exploited by hackers to drop web shells on vulnerable systems.  
Learn more: https://thehackernews.com/2023/07/citrix-netscaler-adc-and-gateway.html


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.04.30",-8,8,preditivo,,CVE-2023-3519,,,4
H00034,2023-01-30,malware,Atlantic General Hospital,US,"ransomware,malware",0.6186,T002240,2023-01-18,cissp,ransomware,"Royal & BlackCat Ransomware: The Threat to the Health Sector January 12, 2023


⁩-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.10.28",-12,12,preditivo,,,"blackcat, royal",,4
H01045,2023-11-14,account takeover,Cloudflare,US,"vuln_exploit,apt,account_takeover",0.6072,T001508,2023-10-31,cissp,vuln_exploit,"⚠️ Alert! Atlassian warns of critical flaw (CVE-2023-22518) in Confluence Data Center and Server. Disconnect publicly accessible instances until patched to avoid data loss. 
 
Learn more: 
https://thehackernews.com/2023/10/atlassian-warns-of-new-critical.html


-Cyber Security awareness-
 
Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.08.09",-14,14,preditivo,,CVE-2023-22518,,,4
H00484,2023-07-29,vulnerability,Alchemix,,vuln_exploit,0.6038,T001753,2023-07-21,cissp,vuln_exploit,"U.S. cybersecurity agency warns of a critical flaw (CVE-2023-3519) in Citrix NetScaler ADC and Gateway devices being exploited by hackers to drop web shells on vulnerable systems.  
Learn more: https://thehackernews.com/2023/07/citrix-netscaler-adc-and-gateway.html


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.04.30",-8,8,preditivo,,CVE-2023-3519,,,4
H00321,2023-05-22,malware,Madhya Pradesh Power Management Company (MPPMC),IN,"ransomware,malware",0.5996,T001933,2023-05-10,cissp,malware,"Malware analysis
1. AndoryuBot
https://www.fortinet.com/blog/threat-research/andoryubot-new-botnet-campaign-targets-ruckus-wireless-admin-remote-code-execution-vulnerability-cve-2023-25717

2. AsyncRAT Loader
https://www.huntress.com/blog/advanced-cyberchef-tips-asyncrat-loader


-Cyber Security awareness-

Up2date 4 Defense Today,
Secure Tomorrow
@CisoasaService
1402.02.20",-12,12,preditivo,,CVE-2023-25717,,,4
H00248,2023-05-01,vulnerability,Level Finance,,vuln_exploit,0.5939,T001970,2023-04-25,cissp,vuln_exploit,"🔥 New SLP protocol vulnerability (CVE-2023-29552) could be weaponized for massive DoS amplification attacks with an amplification factor of up to 2,200.

Learn more: https://thehackernews.com/2023/04/new-slp-vulnerability-could-let.html

More than 2,000 global organizations and 54,000 SLP instances are said to be affected.


-Cyber Security awareness-

Up2date 4 Defense Today,
Secure Tomorrow
@CisoasaService
1402.02.05",-6,6,preditivo,,CVE-2023-29552,,,4
H01550,2024-11-12,other,Unknown organizations,Unknown,vuln_exploit,0.5931,T000124,2024-11-04,HackingBlogsGroup,vuln_exploit,"🚨Microsoft SharePoint Vulnerability Leads To Exploitation Of Entire Corporate Network

Corporate networks are being initially accessed through the exploitation of CVE-2024-38094. As part of the July Patch Tuesday package, Microsoft discovered a Microsoft SharePoint remote code execution (RCE) vulnerability and classified it as “high-severity“. Rapid7 finds that attackers planted a webshell on a vulnerable SharePoint server by gaining unauthorised access through CVE-2024-38094.

""An authenticated",-8,8,preditivo,,CVE-2024-38094,,,4
H01120,2024-02-26,vulnerability,Multiple organizations,>1,,0.5873,T001413,2024-02-12,cissp,"malware,data_breach,vuln_exploit","🕵️ Chinese state-backed hackers exploited FortiOS SSL-VPN flaws to breach a Dutch military network, deploying a stealthy backdoor called COATHANGER. 
Learn more: 
https://thehackernews.com/2024/02/chinese-hackers-exploited-fortigate.html

🔥 A critical vulnerability has been found in the shim bootloader, leaving millions of Linux systems vulnerable to attack. 
Learn more about CVE-2023-40547: https://thehackernews.com/2024/02/critical-bootloader-vulnerability-in.html 
Update your device immediate",-14,14,preditivo,,CVE-2023-40547,,,4
H01580,2024-12-09,ransomware,​Electrica Group,RO,ransomware,0.5779,T001239,2024-12-03,cissp,"ransomware,vuln_exploit","#DiyakoSecureBow
————————————
CISO as A Service (vCISO)

Research
Offensive Security
AI-Augmented Ethical Hacking:
A Practical Examination of Manual Exploitation and Privilege Escalation in Linux Environments 2024.

Special Thanks❤️😇👍🏽🙏
Haitham S. Al-Sinani and Chris J. Mitchell
1 Department of Cybersecurity and Quality Assurance, Diwan of Royal Court,
Muscat, Oman.
2 Department of Information Security, Royal Holloway, University of London,

-Secure Business Continuity-
2024.12.03
——————————————",-6,6,preditivo,,,"conti, royal",,4
H00485,2023-07-29,vulnerability,MetronomeDAO,,vuln_exploit,0.5652,T001739,2023-07-26,cissp,"phishing,malware,vuln_exploit","🚨 Heads up, network admins! 
MikroTik RouterOS vulnerability (CVE-2023-30799) exposes 500,000+ systems to potential exploitation!   
Read: https://thehackernews.com/2023/07/critical-mikrotik-routeros.html
Upgrade to RouterOS 6.49.8 or 7.x ASAP!

FraudGPT, the latest cybercrime AI tool, is being sold on dark web marketplaces and Telegram channels. It is claimed that it can create undetectable malware and craft convincing phishing emails. 
Read: https://thehackernews.com/2023/07/new-ai-tool-fraudg",-3,3,preditivo,,CVE-2023-30799,,,4
H00027,2023-01-23,targeted attack,Pakistan National Transmission & Despatch Company (NTDC),PK,,0.5594,T002256,2023-01-17,cissp,"ddos,vuln_exploit","Below are the critical vulnerabilities being exploited in attacks in the wild:

CVE-2017-12240 (CVSS score of 9.8) – The vulnerability affects the DHCP relay subsystem in IOS and IOS XE software. The vulnerability could be exploited by a remote and unauthenticated attacker that can execute arbitrary code and gain full control of the targeted system. The flaw could be also exploited to cause a denial-of-service (DoS) condition by triggering a buffer overflow via specially crafted DHCPv4 packets.
",-6,6,preditivo,,CVE-2017-12240,,,4
H01716,2025-05-18,ransomware,Covenant Health,US,"ransomware,data_breach",0.5593,T000012,2025-05-13,HackingBlogsGroup,vuln_exploit,"🚨🚫VMware Tools CVE-2025-22247 Vulnerability Lets Hackers Tamper with Virtual Machines: Patch Now

Hello There Hackingblogs readers. In a recent security alert, Broadcom-owned VMware disclosed a moderate-severity vulnerability in its VMware Tools software, which is crucial for optimizing and maintaining virtual machines (VMs) on platforms such as ESXi. The vulnerability, identified as VMware Tools CVE-2025-22247 Vulnerability, allows hackers with limited access privileges to tamper with files ins",-5,5,preditivo,,CVE-2025-22247,,,4
H00300,2023-01-30,vulnerability,InvestorCOM,CA,"data_breach,vuln_exploit",0.559,T002256,2023-01-17,cissp,"ddos,vuln_exploit","Below are the critical vulnerabilities being exploited in attacks in the wild:

CVE-2017-12240 (CVSS score of 9.8) – The vulnerability affects the DHCP relay subsystem in IOS and IOS XE software. The vulnerability could be exploited by a remote and unauthenticated attacker that can execute arbitrary code and gain full control of the targeted system. The flaw could be also exploited to cause a denial-of-service (DoS) condition by triggering a buffer overflow via specially crafted DHCPv4 packets.
",-13,13,preditivo,,CVE-2017-12240,,,4
H01421,2024-09-04,malicious script injection,Cisco,US,vuln_exploit,0.5571,T000196,2024-08-28,HackingBlogsGroup,vuln_exploit,"🚨🚨Alert: Million Websites Affects By Vulnerability in
WordPress Plugin : CVE-2024-6386

💀It was discovered that WPML, a popular plugin for building multilingual WordPress sites with over a million active installations, is vulnerable to server-side template injection attacks.

Read this detailed article 👉🏻https://hackingblogs.com/million-websites-affects-by-vulnerability-in-wordpress-plugin-cve-2024-6386/

Join our Telegram to Get latest Ethical Hacking Content 👉🏻 
https://t.me/HackingBlogsGroup",-7,7,preditivo,,CVE-2024-6386,,,4
H01423,2024-09-04,ddos,Several high-profile French organizations,FR,ddos,0.7715,T069353,2024-08-26,hackers_asylum,"ddos,vuln_exploit","🐶 In support of Pavel Durov (CEO Telegram), hackers launched a series of DDoS attacks on the websites of French government agencies.

Source: [leparisien.com](https://www.leparisien.fr/faits-divers/arrestation-de-pavel-durov-vague-de-cyberattaques-et-declarations-publiques-en-soutien-au-patron-de-telegram-25-08-2024-5J7DD64YGBFK7MWXBPTLJF3QG4.php)

#freepavel",-9,9,preditivo,french,,,,3
H00106,2023-02-17,malware,U.S. Marshals Service (USMS),US,"ransomware,malware",0.6655,T002156,2023-02-12,cissp,malware,"Malware analysis
""A Detailed Analysis of a New Stealer Called Stealerium"", 2023


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.11.23",-5,5,preditivo,service,,,,3
H01748,2025-06-22,other,"Separate military system connected to the nuclear sites at Fordow, Natanz and Isfahan",IR,,0.642,T068615,2025-06-18,hackers_asylum,,**JUST IN:** 🇮🇷🇮🇱 Iranian air defense systems intercept Israeli missiles in Tehran,-4,4,preditivo,system,,,,3
H00106,2023-02-17,malware,U.S. Marshals Service (USMS),US,"ransomware,malware",0.6263,T002155,2023-02-12,cissp,ransomware,"**Incident Overview: Massive Ransomware Attack Targets Unpatched VMWare ESXi Servers

****https://hacklido.com/blog/288-incident-overview-massive-ransomware-attack-targets-unpatched-vmware-esxi-servers****


**-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.11.23",-5,5,preditivo,service,,,,3
H00688,2023-10-12,other,Pro-Palestinian threat actors,IL,,0.5692,T001560,2023-10-09,cissp,,"⚡️ Gaza-based hacker group Storm-1133 targets Israeli energy, defense, and telecom. Microsoft's report exposes tactics, including employing LinkedIn fakes & dynamic C2 infra on Google Drive. 
Read: 
https://thehackernews.com/2023/10/gaza-linked-cyber-threat-actor-targets.html

🔐 Multiple high-severity vulnerabilities discovered in ConnectedIO's 3G/4G routers and cloud platform could let hackers execute malicious code and access sensitive data. Get the details: 
https://thehackernews.com/2023/10/",-3,3,preditivo,threat,,,,3
H00385,2023-06-23,other,City of Fort Worth,US,ransomware,0.554,T001842,2023-06-13,cissp,vuln_exploit,"Hackers are actively exploiting the latest Fortinet's FortiOS and FortiProxy flaw, targeting government, manufacturing, and critical infrastructure sectors. 
Learn more: 
https://thehackernews.com/2023/06/critical-fortios-and-fortiproxy.html 
Take immediate action and update to the latest firmware now!


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.03.23",-10,10,preditivo,fort,,,,3
H01713,2025-01-17,malware,Internet Service Providers in China and the West Coast of the U.S.,CN US,malware,0.5504,T000087,2025-01-03,HackingBlogsGroup,,"🚨The US Department Of Treasury Was Hacked By Beijing Based Chinese Hackers

According to a letter to Congress, cyber vendor BeyondTrust was breached by Beijing-backed attackers who gained access to US Department of the Treasury workstations and stole sensitive material.

With access to the stolen key, the threat actor was able to override the service’s security, remotely access certain Treasury DO user workstations, and access certain unclassified documents maintained by those users.”

According",-14,14,preditivo,service,,,,3
H00706,2023-09-20,malware,Undisclosed organization,,"ransomware,malware,vuln_exploit",0.7171,T001608,2023-09-16,cissp,"ransomware,malware","Malware analysis
MA detailed analysis of the Money Message Ransomware 2023


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.06.25",-4,4,preditivo,,,money message,,2
H00867,2023-09-27,malware,Foursquare Healthcare,US,"ransomware,malware",0.6922,T001608,2023-09-16,cissp,"ransomware,malware","Malware analysis
MA detailed analysis of the Money Message Ransomware 2023


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.06.25",-11,11,preditivo,,,money message,,2
H00142,2023-03-13,malware,Autoridad de Acueductos y Alcantarillados (AAA),PR,"ransomware,malware",0.6851,T002107,2023-03-10,cissp,"ransomware,malware","Malware analysis
""ESXi Ransomware - A case study of Royal Ransomware"", 2023



-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.12.19",-3,3,preditivo,,,royal,,2
H01259,2024-06-02,ransomware,Special Health Resources,US,ransomware,0.6822,T001330,2024-05-22,cissp,ransomware,"#DiyakoSecureBow
————————————
Among all cyber threats, ransomware groups continue to evolve into formidable adversaries, causing significant financial and operational disruptions.

This Ransomware Threat Landscape: Ransomware Resurgence 2023 report examines the evolving landscape of ransomware attacks from April 1, 2022, to March 31, 2023. The analysis includes 2,708 ransomware victims whose names were publicized by ransomware groups on their underground blogs. The report delves into the targete",-11,11,preditivo,,,conti,,2
H01265,2024-06-04,ransomware,Vietnam Post,VN,ransomware,0.6712,T001330,2024-05-22,cissp,ransomware,"#DiyakoSecureBow
————————————
Among all cyber threats, ransomware groups continue to evolve into formidable adversaries, causing significant financial and operational disruptions.

This Ransomware Threat Landscape: Ransomware Resurgence 2023 report examines the evolving landscape of ransomware attacks from April 1, 2022, to March 31, 2023. The analysis includes 2,708 ransomware victims whose names were publicized by ransomware groups on their underground blogs. The report delves into the targete",-13,13,preditivo,,,conti,,2
H00179,2023-04-01,malware,Isaac Regional Council,AU,"ransomware,malware",0.6682,T002097,2023-03-18,cissp,ransomware,"🔐👾 LockBit 3.0 — FBI, CISA, and MS-ISAC have issued a joint advisory on this dangerous ransomware, detailing indicators of compromise, tactics, techniques and procedures.

Read: https://thehackernews.com/2023/03/lockbit-30-ransomware-inside.html


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.12.27",-14,14,preditivo,,,lockbit,,2
H00198,2023-03-28,malware,BrightSpring Health,US,"ransomware,malware,data_breach",0.6644,T002098,2023-03-17,cissp,"ransomware,malware","Malware analysis
1. MedusaLocker Ransomware
https://blog.cyble.com/2023/03/15/unmasking-medusalocker-ransomware

2. Magniber ransomware
https://blog.google/threat-analysis-group/magniber-ransomware-actors-used-a-variant-of-microsoft-smartscreen-bypass

3. Decrypt strings stealc stealer
https://github.com/MalGamy/Scripts-With-Malware-Analysis/blob/main/stealc_stealer/decrypt_strings_stealc_stealer.py


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.12.26",-11,11,preditivo,,,medusa,,2
H00239,2023-03-13,malware,OMT Officine Meccaniche Torino,IT,"ransomware,malware",0.6643,T002107,2023-03-10,cissp,"ransomware,malware","Malware analysis
""ESXi Ransomware - A case study of Royal Ransomware"", 2023



-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.12.19",-3,3,preditivo,,,royal,,2
